 DATE ,MAXATTR, MAXFOWARD, MAXBACKWARD, GAP, MINSUPPORT, MAXNODES, EFGS, NODES, NUMATTR, ATTRBERN, EDGEBERN, NODES/EFG, P1, P2, P3, EDGE WEIGHT, P1, P2, P3, NODE WEIGHT, P1, P2, P3, ATTR WEIGHT, P1, P2, P3, TIME, NUMEDGES, TOTALSUBGRAPHS, HOTSUBGRAPHS, 0-EDGE, 1-EDGE, 2-EDGE, 3-EDGE, 4-EDGE, 5-EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2015 03:51:51,5000,0,0,0,0,1000,2,10,3,0.5,0,U,1,2,0,U,3,4,0,U,4,5,0,U,5,6,0,98,24,355,32,6,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2015 03:53:27,5000,0,0,0,0,1000,2,10,3,0.5,0,U,1,2,0,U,3,4,0,U,4,5,0,U,5,6,0,147,24,895,44,7,13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2015 03:53:29,5000,0,0,0,0,1000,2,10,3,0.5,0,U,1,2,0,U,3,4,0,U,4,5,0,U,5,6,0,125,24,691,42,7,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2015 03:53:31,5000,0,0,0,0,1000,2,10,3,0.5,0,U,1,2,0,U,3,4,0,U,4,5,0,U,5,6,0,169,24,1949,77,7,31,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2015 12:57:38,3,10,6,10,0,15,4,4,37,0.446214501,0.202463259,E,3.219397955,0,0,E,3.581413461,0,0,G,1.19632991,2,77,U,37,42,0,67,0,0,0,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2015 12:57:39,3,0,8,1,0,20,9,9,30,0.586911763,0.766127016,G,0.646046533,50,70,G,3.565353421,34,88,U,74,94,0,E,4.864687328,0,0,72,0,0,0,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2015 03:51:51,5000,0,0,0,0,1000,2,10,3,0.5,0,U,1,2,0,U,3,4,0,U,4,5,0,U,5,6,0,98,24,355,32,6,14,12,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2015 03:51:09,5000,0,0,0,0,1000,2,10,3,0.5,0,U,1,2,0,U,3,4,0,U,4,5,0,U,5,6,0,104,24,404,29,7,11,11,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2015 03:37:43,5000,0,0,0,0,1000,2,10,3,0.5,0,U,1,2,0,U,3,4,0,U,4,5,0,U,5,6,0,123,24,434,37,7,15,15,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2015 03:53:29,5000,0,0,0,0,1000,2,10,3,0.5,0,U,1,2,0,U,3,4,0,U,4,5,0,U,5,6,0,125,24,691,42,7,19,16,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
