--------MACHINE INFORMATION--------

Processor: null
Java.vm.version: 11.2-b01
Java.runtime.version: 1.6.0_12-b04
Java.class.version: 50.0
Sun.management.compiler: HotSpot 64-Bit Server Compiler
Java.vm.specification.version: 1.0
OS Name: Linux
OS Version: 2.6.32-220.17.1.el6.x86_64
OS Arch: amd64
Available Processors: 8

--------TEST RESULTS--------
 DATE ,MAXATTR, MAXFOWARD, MAXBACKWARD, GAP, MINSUPPORT, MAXNODES, EFGS, NODES, NUMATTR, ATTRBERN, EDGEBERN, NODES/EFG, P1, P2, P3, EDGE WEIGHT, P1, P2, P3, NODE WEIGHT, P1, P2, P3, ATTR WEIGHT, P1, P2, P3, PATNODE/EFG, P1, P2, P3, PATEFG, PATNODE, PATPROB, TIME(ms), NUMEDGES, TOTALSUBGRAPHS, HOTSUBGRAPHS, 0-EDGE, 1-EDGE, 2-EDGE, 3-EDGE, 4-EDGE, 5-EDGE
27/08/2015 10:20:52,5,5,5,0,0.21,10,10,1000,10,0.036389041748988396,0.1,G,1.0,10,10,U,10,10, -,E,1.0, -, -,G,1.0,10,10,E,1.0, -, -,2,10,0.0,ERROR
27/08/2015 10:25:25,5,5,5,0,0.21,10,10,1000,10,0.027064395331043246,0.1,G,1.0,10,10,U,10,10, -,U,10,10, -,G,1.0,10,10,U,10,10, -,2,10,0.0,ERROR
27/08/2015 10:25:27,5,5,5,0,0.21,10,10,1000,10,0.027064395331043246,0.1,G,1.0,10,10,U,10,10, -,U,10,10, -,G,1.0,10,10,U,10,10, -,2,10,0.0,605,5726,0,0
27/08/2015 10:25:28,5,5,5,0,0.21,10,10,1000,10,0.07316481199779244,0.1,G,1.0,10,10,U,10,10, -,U,10,10, -,E,1.0, -, -,G,1.0,10,10,3,10,0.0,ERROR
27/08/2015 10:25:29,5,5,5,0,0.21,10,10,1000,10,0.07316481199779244,0.1,G,1.0,10,10,U,10,10, -,U,10,10, -,E,1.0, -, -,G,1.0,10,10,3,10,0.0,515,5955,0,0
27/08/2015 10:25:29,5,5,5,0,0.21,10,10,1000,10,0.022460719524950913,0.1,U,10,10, -,G,1.0,10,10,E,1.0, -, -,U,10,10, -,G,1.0,10,10,1,10,0.0,ERROR
27/08/2015 10:25:30,5,5,5,0,0.21,10,10,1000,10,0.022460719524950913,0.1,U,10,10, -,G,1.0,10,10,E,1.0, -, -,U,10,10, -,G,1.0,10,10,1,10,0.0,467,6244,0,0
27/08/2015 10:25:31,5,5,5,0,0.21,10,10,1000,10,0.05743612291536337,0.1,U,10,10, -,U,10,10, -,U,10,10, -,G,1.0,10,10,U,10,10, -,4,10,0.0,ERROR
27/08/2015 10:25:32,5,5,5,0,0.21,10,10,1000,10,0.05743612291536337,0.1,U,10,10, -,U,10,10, -,U,10,10, -,G,1.0,10,10,U,10,10, -,4,10,0.0,485,5575,0,0
27/08/2015 10:25:32,5,5,5,0,0.21,10,10,1000,10,0.0030424664956588024,0.1,G,1.0,10,10,E,1.0, -, -,E,1.0, -, -,E,1.0, -, -,G,1.0,10,10,8,10,0.0,ERROR
27/08/2015 10:25:33,5,5,5,0,0.21,10,10,1000,10,0.0030424664956588024,0.1,G,1.0,10,10,E,1.0, -, -,E,1.0, -, -,E,1.0, -, -,G,1.0,10,10,8,10,0.0,509,6332,0,0
27/08/2015 10:25:34,5,5,5,0,0.21,10,10,1000,10,0.02722153960329651,0.1,G,1.0,10,10,E,1.0, -, -,G,1.0,10,10,G,1.0,10,10,E,1.0, -, -,8,10,0.0,ERROR
27/08/2015 10:25:35,5,5,5,0,0.21,10,10,1000,10,0.02722153960329651,0.1,G,1.0,10,10,E,1.0, -, -,G,1.0,10,10,G,1.0,10,10,E,1.0, -, -,8,10,0.0,988,5922,320,30,10,20
27/08/2015 10:25:36,5,5,5,0,0.21,10,10,1000,10,0.058746662500919034,0.1,U,10,10, -,E,1.0, -, -,E,1.0, -, -,U,10,10, -,U,10,10, -,9,10,0.0,ERROR
27/08/2015 10:25:37,5,5,5,0,0.21,10,10,1000,10,0.058746662500919034,0.1,U,10,10, -,E,1.0, -, -,E,1.0, -, -,U,10,10, -,U,10,10, -,9,10,0.0,446,5808,0,0
