--------MACHINE INFORMATION--------

Processor: Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz
Java.vm.version: 25.45-b02
Java.runtime.version: 1.8.0_45-b14
Java.class.version: 52.0
Sun.management.compiler: HotSpot 64-Bit Tiered Compilers
Java.vm.specification.version: 1.8
OS Name: Mac OS X
OS Version: 10.10.5
OS Arch: x86_64
Available Processors: 8

--------TEST RESULTS--------
 DATE ,MAXATTR, MAXFOWARD, MAXBACKWARD, GAP, MINSUPPORT, MAXNODES, EFGS, NODES, NUMATTR, ATTRBERN, EDGEBERN, NODES/EFG, P1, P2, P3, EDGE WEIGHT, P1, P2, P3, NODE WEIGHT, P1, P2, P3, ATTR WEIGHT, P1, P2, P3, PATNODE/EFG, P1, P2, P3, PATEFG, PATNODE, PATPROB, TIME, NUMEDGES, TOTALSUBGRAPHS, HOTSUBGRAPHS, 0-EDGE, 1-EDGE, 2-EDGE, 3-EDGE, 4-EDGE, 5-EDGE
25/08/2015 11:02:25,5,5,0,0,0.0,10,56,1000,5,0.026217578739387036,0.02072215451476507,G,1.0,10,10,G,1.0,10,10,G,1.0,10,10,E,1.0, -, -,U,10,10, -,10,10,0.0,ERROR
25/08/2015 11:02:36,5,5,0,0,0.0,10,56,1000,5,0.026217578739387036,0.02072215451476507,G,1.0,10,10,G,1.0,10,10,G,1.0,10,10,E,1.0, -, -,U,10,10, -,10,10,0.0,10975ms,1711,0,2512,11,36,128,735,1602
25/08/2015 11:02:36,5,4,4,0,0.0,10,96,1000,5,0.0618424905248034,0.04796222152623861,G,1.0,10,10,E,1.0, -, -,U,10,10, -,U,10,10, -,G,1.0,10,10,8,10,0.0,ERROR
25/08/2015 11:02:47,5,4,4,0,0.0,10,96,1000,5,0.0618424905248034,0.04796222152623861,G,1.0,10,10,E,1.0, -, -,U,10,10, -,U,10,10, -,G,1.0,10,10,8,10,0.0,10502ms,1716,0,2514,17,74,164,884,1375
25/08/2015 11:02:47,5,0,0,0,0.0,10,77,1000,5,0.2965080458819788,0.04558611127313007,U,10,10, -,G,1.0,10,10,G,1.0,10,10,E,1.0, -, -,U,10,10, -,6,10,0.0,ERROR
25/08/2015 11:05:27,5,0,0,0,0.0,10,77,1000,5,0.2965080458819788,0.04558611127313007,U,10,10, -,G,1.0,10,10,G,1.0,10,10,E,1.0, -, -,U,10,10, -,6,10,0.0,159418ms,1744,0,21120,30,556,2694,9554,8286
25/08/2015 11:05:27,5,2,0,0,0.0,10,80,1000,5,0.17134286216629033,0.04540039819631672,G,1.0,10,10,E,1.0, -, -,E,1.0, -, -,U,10,10, -,G,1.0,10,10,3,10,0.0,ERROR
25/08/2015 11:05:49,5,2,0,0,0.0,10,80,1000,5,0.17134286216629033,0.04540039819631672,G,1.0,10,10,E,1.0, -, -,E,1.0, -, -,U,10,10, -,G,1.0,10,10,3,10,0.0,21491ms,1758,0,6089,30,359,1010,3089,1601
25/08/2015 11:05:49,5,2,0,0,0.0,10,94,1000,5,0.053153607776196266,0.016696202417739482,U,10,10, -,U,10,10, -,G,1.0,10,10,U,10,10, -,E,1.0, -, -,9,9,0.0,ERROR
25/08/2015 11:05:59,5,2,0,0,0.0,10,94,1000,5,0.053153607776196266,0.016696202417739482,U,10,10, -,U,10,10, -,G,1.0,10,10,U,10,10, -,E,1.0, -, -,9,9,0.0,9657ms,1896,0,1386,15,82,173,919,197
25/08/2015 11:06:02,5,0,5,0,0.0,10,50,1245,5,0.14647177657264956,0.03435728306135468,E,1.0, -, -,G,1.0,10,10,U,10,10, -,G,1.0,10,10,G,1.0,10,10,2,8,0.05,ERROR
25/08/2015 11:07:26,5,0,5,0,0.0,10,50,1245,5,0.14647177657264956,0.03435728306135468,E,1.0, -, -,G,1.0,10,10,U,10,10, -,G,1.0,10,10,G,1.0,10,10,2,8,0.05,83414ms,3394,0,14992,28,215,767,4484,9498
25/08/2015 11:07:26,5,1,3,0,0.0,10,96,1280,5,0.16129709914997659,0.06204913348328578,U,10,10, -,E,1.0, -, -,G,1.0,10,10,G,1.0,10,10,G,1.0,10,10,1,6,0.05,ERROR
25/08/2015 11:07:29,5,1,3,0,0.0,10,96,1280,5,0.16129709914997659,0.06204913348328578,U,10,10, -,E,1.0, -, -,G,1.0,10,10,G,1.0,10,10,G,1.0,10,10,1,6,0.05,2830ms,2641,0,1895,25,239,724,753,154
25/08/2015 11:07:30,5,2,2,0,0.0,10,40,1051,5,0.0627574213497684,0.06208289874926636,E,1.0, -, -,G,1.0,10,10,G,1.0,10,10,G,1.0,10,10,G,1.0,10,10,5,7,0.05,ERROR
25/08/2015 11:07:53,5,2,2,0,0.0,10,40,1051,5,0.0627574213497684,0.06208289874926636,E,1.0, -, -,G,1.0,10,10,G,1.0,10,10,G,1.0,10,10,G,1.0,10,10,5,7,0.05,23684ms,4315,0,10696,17,117,403,2611,7548
25/08/2015 11:07:54,5,1,3,0,0.0,10,91,1150,5,0.1373808571193353,0.07923942630257161,E,1.0, -, -,E,1.0, -, -,E,1.0, -, -,E,1.0, -, -,U,10,10, -,5,10,0.05,ERROR
25/08/2015 11:08:00,5,1,3,0,0.0,10,91,1150,5,0.1373808571193353,0.07923942630257161,E,1.0, -, -,E,1.0, -, -,E,1.0, -, -,E,1.0, -, -,U,10,10, -,5,10,0.05,5719ms,3797,0,3775,25,213,838,1429,1270
25/08/2015 11:08:00,5,0,2,0,0.0,10,47,1200,5,0.08665679622954935,0.0029913001975556356,U,10,10, -,U,10,10, -,E,1.0, -, -,E,1.0, -, -,U,10,10, -,2,6,0.05,ERROR
25/08/2015 11:08:29,5,0,2,0,0.0,10,47,1200,5,0.08665679622954935,0.0029913001975556356,U,10,10, -,U,10,10, -,E,1.0, -, -,E,1.0, -, -,U,10,10, -,2,6,0.05,28467ms,2429,0,2487,23,131,201,1340,792
25/08/2015 11:08:32,5,3,5,0,0.0,10,14,1000,5,0.20674908314205132,0.07448338754029178,E,1.0, -, -,E,1.0, -, -,U,10,10, -,E,1.0, -, -,G,1.0,10,10,10,10,0.1,ERROR
